,X,Y,Z
2129,5545126.8270000005,7421939.8889999995,180.9581756952
2130,5545126.9520000005,7421939.831,180.9565756952
2131,5545127.044,7421939.812999999,180.9700716952
2132,5545127.2,7421939.755,180.9691153904
2133,5545127.478999999,7421939.7,180.998704
2134,5545127.819,7421939.645,180.9790603048
2135,5545128.221,7421939.631,180.5216153904
2136,5545128.622,7421939.696,179.646836
2137,5545128.897999999,7421939.82,179.2156206096
2138,5545129.113,7421939.942000001,178.9176153904
2139,5545129.235,7421940.044,178.8674473904
2140,5545129.51,7421940.286,178.9596396952
2141,5545129.722,7421940.568,178.897232
2142,5545129.965,7421940.87,179.90916800000002
2143,5545130.115,7421941.171,180.2405473904
2144,5545130.265,7421941.492000001,180.83750769519997
2145,5545130.445,7421941.833,180.93560000000002
2146,5545130.562999999,7421942.193,180.9213473904
2147,5545130.651000001,7421942.532000001,180.9307473904
2148,5545130.709,7421942.812000001,180.9390923048
2149,5545130.674,7421943.07,180.95223599999997
2150,5545130.61,7421943.248,180.958632
2151,5545130.484,7421943.405,180.9512793904
2152,5545130.3889999995,7421943.543,180.9607283048
2153,5545130.325,7421943.7020000005,180.9680756952
2154,5545130.261,7421943.86,180.9727243048
2155,5545130.197000001,7421944.017999999,180.9739243048
2156,5545130.1620000005,7421944.276000001,180.9740716952
2157,5545130.157000001,7421944.615,180.9829153904
2158,5545130.152000001,7421944.972999999,181.018596
2159,5545130.084,7421945.39,181.0512716952
2160,5545130.0479999995,7421945.748,181.0820526096
2161,5545129.95,7421946.103999999,181.0902486096
2162,5545129.852000001,7421946.461,181.0978436952
2163,5545129.755,7421946.738,181.0982396952
2164,5545129.63,7421946.856000001,181.0892923048
2165,5545129.505,7421946.954,181.07434860959998
2166,5545129.351,7421946.931,181.05360769520001
2167,5545129.227999999,7421946.91,181.0401076952
2168,5545129.075,7421946.807999999,181.1204283048
2169,5545128.86,7421946.705,181.1994283048
2170,5545128.707,7421946.584,181.29281660959998
2171,5545128.616,7421946.4629999995,181.3488806096
2172,5545128.618,7421946.344,181.3612716952
2173,5545128.5879999995,7421946.244,181.381404
2174,5545128.557999999,7421946.183999999,181.423832
2175,5545128.498,7421946.123,181.4748436952
2176,5545128.467,7421946.083,181.5138716952
2177,5545128.437000001,7421946.062000001,181.53375630480002
2178,5545128.375,7421946.042,181.45895630479998
2179,5545128.344,7421946.061000001,181.4820923048
2180,5545128.312999999,7421946.041,181.5748806096
2181,5545128.283,7421946.02,181.61360769520002
2182,5545128.283,7421945.981000001,181.6554283048
2183,5545128.221,7421946.0,181.5594436952
2184,5545128.283,7421946.0,181.4625563048
2185,5545128.252,7421946.04,181.360968
2186,5545128.033,7421946.196,181.3606756952
2187,5545127.815,7421946.292,181.36432060960001
2188,5545127.692000001,7421946.27,181.3990486096
2189,5545127.476,7421946.227000001,181.42308460959998
2190,5545127.353999999,7421946.126,181.4416206096
2191,5545127.1389999995,7421946.062999999,181.4578603048
2192,5545126.954,7421946.021000001,181.7600603048
2193,5545126.768999999,7421945.958,182.336632
2194,5545126.585,7421945.916,183.1830243048
2195,5545126.431,7421945.853999999,183.402832
2196,5545126.307999999,7421945.812000001,183.19861660959998
2197,5545126.185,7421945.771000001,183.1844806096
2198,5545126.062000001,7421945.749,182.670168
2199,5545125.938999999,7421945.708,182.1676436952
2200,5545125.846,7421945.686000001,182.0567126096
2201,5545125.754,7421945.665,182.2274563048
2202,5545125.6620000005,7421945.643999999,182.17228830480002
2203,5545125.569,7421945.642000001,182.0172923048
2204,5545125.507,7421945.622,181.5880716952
2205,5545125.446,7421945.601,181.6737716952
2206,5545125.384,7421945.6,181.80328460959998
2207,5545125.353999999,7421945.58,181.9760206096
2208,5545125.323,7421945.579,182.16135260960002
2209,5545125.292,7421945.558999999,181.98871260960001
2210,5545125.261,7421945.557999999,181.7332806096
2211,5545125.292,7421945.539,181.603368
2212,5545125.293,7421945.518999999,181.69905260960002
2213,5545125.293,7421945.518999999,181.82891660960001
2214,5545125.324,7421945.518999999,181.803836
2215,5545125.355,7421945.5,181.783396
2216,5545125.417,7421945.501,181.5663883048
2217,5545125.477999999,7421945.502,181.5923716952
2218,5545125.509,7421945.502,181.59512060960003
2219,5545125.602000001,7421945.504,181.64388460959998
2220,5545125.664,7421945.504,181.7391756952
2221,5545125.756,7421945.506,181.745768
2222,5545125.818,7421945.507,181.8655923048
2223,5545125.911,7421945.507999999,182.1422126096
2224,5545125.85,7421945.467,182.17408830480002
2225,5545125.697000001,7421945.346,182.09653969520002
2226,5545125.453,7421945.142999999,181.6354923048
2227,5545125.209,7421944.881,181.5066806096
2228,5545124.937999999,7421944.438999999,181.4685
2229,5545124.728999999,7421943.937999999,181.47074860959998
2230,5545124.583,7421943.339,181.459564
2231,5545124.561000001,7421942.7020000005,181.4015436952
2232,5545124.785,7421942.208,181.38730769519998
2233,5545125.069,7421941.754,181.3770126096
2234,5545125.506,7421941.502,181.3327436952
2235,5545125.972999999,7421941.27,181.3129603048
2236,5545126.592,7421941.199,181.18663969520003
2237,5545127.241,7421941.149,181.1558126096
2238,5545128.012999999,7421941.18,181.1285756952
2239,5545128.847,7421941.212,181.11898460959998
2240,5545129.71,7421941.344,181.0810126096
2241,5545130.667,7421941.458,181.0158486096
2242,5545131.59,7421941.71,180.93290769520002
2243,5545132.6389999995,7421941.825,180.8722883048
2244,5545133.687000001,7421941.999,180.4901513904
2245,5545134.797,7421942.175,180.0792076952
2246,5545135.907000001,7421942.33,179.08506799999998
2247,5545137.078,7421942.546,178.347096
2248,5545138.252,7421942.602999999,177.6906793904
2249,5545139.424,7421942.72,177.27105139040003
2250,5545140.598999999,7421942.677,176.6565513904
2251,5545141.742000001,7421942.714,176.32113078080002
2252,5545142.949,7421942.552,175.8617206096
2253,5545144.124,7421942.49,175.7008846096
2254,5545145.299,7421942.467,175.48292308560002
2255,5545146.472999999,7421942.464,175.31093599999997
2256,5545147.615,7421942.541,175.1860206096
2257,5545148.789,7421942.557999999,174.9956436952
2258,5545149.931,7421942.674,174.8414721144
2259,5545151.103999999,7421942.771000001,174.6430441144
2260,5545152.245,7421942.927,174.2093875048
2261,5545153.352999999,7421943.182,173.6253644192
2262,5545154.4629999995,7421943.397000001,172.8382850288
2263,5545155.571,7421943.711,172.5285875048
2264,5545156.677999999,7421944.026000001,172.150828724
2265,5545157.785,7421944.4,171.94717211440002
2266,5545158.954,7421944.756,171.76257980959997
2267,5545160.03,7421945.13,171.87494860959998
2268,5545161.23,7421945.506,172.0843672
2269,5545162.3379999995,7421945.82,172.0376158096
2270,5545163.506,7421946.235,171.92662872399998
2271,5545164.613,7421946.59,171.8687
2272,5545165.815,7421946.846,171.94181089519998
2273,5545166.9860000005,7421947.022000001,171.8659644192
2274,5545168.157000001,7421947.238,171.73230811439998
2275,5545169.33,7421947.315,171.7175381336
2276,5545170.441000001,7421947.451,171.93251013359998
2277,5545171.584,7421947.487000001,171.5177692192
2278,5545172.664,7421947.543,171.26259721920002
2279,5545173.839,7421947.5,170.9525458288
2280,5545174.9520000005,7421947.497,170.0347
2281,5545176.095,7421947.473999999,169.8432692192
2282,5545177.209,7421947.37,169.4859049144
2283,5545178.323,7421947.307,169.85012830479997
2284,5545179.498,7421947.225,169.8462178288
2285,5545180.549,7421947.2,169.7402972192
2286,5545181.693,7421947.117000001,169.5982332192
2287,5545182.744,7421947.092999999,169.3308126096
2288,5545183.856000001,7421947.169,169.164664
2289,5545184.874,7421947.283,169.2237332192
2290,5545185.953,7421947.437999999,169.499353524
2291,5545187.032000001,7421947.592999999,169.83338182880001
2292,5545188.08,7421947.767999999,170.19404860959997
2293,5545189.129,7421947.922,170.406753524
2294,5545190.146000001,7421948.076,170.4155
2295,5545191.225,7421948.251,170.37807413360002
2296,5545192.212,7421948.365,170.42324860960002
2297,5545193.14,7421948.319,170.5035458288
2298,5545194.009,7421948.073,170.7067178288
2299,5545194.941000001,7421947.727999999,170.7726206096
2300,5545195.932999999,7421947.484,171.000361524
2301,5545196.955,7421947.36,171.17739999999998
2302,5545198.005,7421947.415,171.463653524
2303,5545198.99,7421947.647999999,171.6322049144
2304,5545199.818,7421948.097999999,171.9794388952
2305,5545200.397999999,7421948.563999999,172.0792748952
2306,5545200.669,7421949.086,172.1568748952
2307,5545200.7870000005,7421949.426,172.1051672
2308,5545200.752,7421949.683999999,172.1039158096
2309,5545200.687999999,7421949.862000001,172.1012158096
2310,5545200.471,7421949.899,172.1495312
2311,5545200.194,7421949.875,172.14813120000002
2312,5545199.855,7421949.81,172.2151388952
2313,5545199.453,7421949.804,172.20354411440002
2314,5545199.05,7421949.857999999,172.1534312
2315,5545198.587,7421949.871,172.0879748952
2316,5545198.091,7421949.982999999,172.08297489519998
2317,5545197.626,7421950.036,172.0633875048
2318,5545197.097999999,7421950.267999999,172.02790811439996
2319,5545196.571,7421950.379,171.99208502879998
2320,5545196.012,7421950.55,171.929428724
2321,5545195.484,7421950.722,171.851128724
2322,5545194.987000001,7421950.893999999,171.71944860960002
2323,5545194.646000001,7421951.007999999,171.6574381336
2324,5545194.427999999,7421951.103999999,171.58303813359998
2325,5545194.272000001,7421951.182,171.5650486096
2326,5545194.147999999,7421951.22,171.5326692192
2327,5545194.024,7421951.278,171.54026152400002
2328,5545193.93,7421951.336,171.52027691440003
2329,5545193.836,7421951.414,171.5107332192
2330,5545193.743,7421951.492000001,171.5073381336
2331,5545193.68,7421951.571,171.51812830480003
2332,5545193.617000001,7421951.63,171.538864
2333,5545193.554,7421951.688999999,171.5461126096
2334,5545193.492000001,7421951.727999999,171.5362206096
2335,5545193.301,7421952.083,171.5271206096
2336,5545192.955,7421952.516,171.62031013360001
2337,5545192.267999999,7421953.003,171.622961524
2338,5545191.462,7421953.23,171.60537413359998
2339,5545190.506,7421953.0770000005,171.5869846096
2340,5545189.741,7421952.549,171.5745381336
2341,5545189.29,7421951.726,171.451964
