X	Y	Z
5545251.78	7421898.046	170.99182552399998
5545251.028	7421898.772000001	171.4945409144
5545250.123	7421899.376	171.99506399999999
5545249.279	7421900.08	172.22143641920002
5545248.282000001	7421900.622	172.5464798096
5545247.407000001	7421901.326	172.7792158096
5545246.409	7421901.929	173.26201089520004
5545245.533	7421902.632	173.5037465904
5545244.565	7421903.353999999	173.4694
5545243.721	7421904.039	173.48059999999998
5545242.782000001	7421904.841	183.162932
5545241.998	7421905.606000001	183.1848793904
5545241.121	7421906.429	183.140004
5545240.306	7421907.232999999	183.1060716952
5545239.459	7421908.076	183.0567563048
5545238.643999999	7421908.92	183.03407569520002
5545237.857999999	7421909.804	182.98580769519998
5545237.074	7421910.609	182.9531806096
5545236.288	7421911.533	182.8990126096
5545235.411	7421912.316000001	182.8713846096
5545234.657000001	7421913.201	182.8390526096
5545233.749	7421913.982999999	182.835904
5545232.995	7421914.868	182.8020806096
5545232.118	7421915.691000001	182.7318166096
5545231.333	7421916.555	182.6481806096
5545230.517000001	7421917.379	182.5784243048
5545229.671	7421918.182999999	181.7363243048
5545228.794	7421918.966	180.95394369520002
5545227.887999999	7421919.65	179.28493600000002
5545226.951	7421920.352000001	178.3593883048
5545226.045	7421921.036	177.17177691440003
5545225.1389999995	7421921.739	176.5599667808
5545224.324	7421922.482999999	176.0051873904
5545223.449	7421923.207	175.6854923048
5545222.573	7421923.911	175.3006486096
5545221.698	7421924.595	175.0773923048
5545220.731000001	7421925.237000001	175.03652308559998
5545219.886	7421925.941000001	175.10592830480005
5545218.826	7421926.602999999	175.204864
5545218.011	7421927.387	175.170136
5545217.011	7421928.147999999	174.9214
5545216.226	7421929.012999999	174.682220724
5545215.379	7421929.876	174.41450319999998
5545214.655	7421930.821	174.22176720000002
5545213.931	7421931.726	173.94910811440002
5545213.114	7421932.649	173.6878748952
5545212.359	7421933.573	173.16782350480003
5545211.602999999	7421934.538	172.7081158096
5545210.786	7421935.461	172.11655950480002
5545210.123	7421936.466	171.7180108952
5545209.275	7421937.409	171.47301013359998
5545208.6110000005	7421938.415	171.48759721919998
5545207.886	7421939.419	171.56670000000003
5545207.222	7421940.424	171.65978182880002
5545206.65	7421941.491	171.631761524
5545205.956	7421942.515	171.6948178288
5545205.384	7421943.602000001	171.5680923048
5545204.72	7421944.587	171.61322552400003
5545204.118	7421945.653	171.72929721920002
5545203.516	7421946.6389999995	171.814189524
5545202.945	7421947.686000001	171.94742350479999
5545202.22	7421948.651000001	171.9803465904
5545201.496	7421949.575	172.0429108952
5545200.771000001	7421950.5	172.08108502879998
5545199.893999999	7421951.363	172.09417489519998
5545199.109	7421952.187999999	172.105620724
5545198.14	7421952.989	172.1102595048
5545197.325	7421953.754	172.1416465904
5545196.417	7421954.596	172.1331465904
5545195.571	7421955.4	172.16133641919998
5545194.755	7421956.244	172.1917158096
5545193.879	7421957.007	172.2631158096
5545193.062999999	7421957.811000001	172.3665465904
5545192.065	7421958.493	172.4354004192
5545191.22	7421959.237000001	172.5514748952
