	X	Y	H
2015_1301	5545024.8333	7421918.9442	185.6664153904
2015_1302	5545023.8227	7421918.9625	185.867836
2015_1303	5545022.7234	7421918.9971	185.7329756952
2015_1304	5545021.6522	7421919.0014	185.7870283048
2015_1305	5545020.4777	7421919.0083	186.2020603048
2015_1306	5545019.3747	7421918.9923	186.1813883048
2015_1307	5545018.1582	7421918.8542	186.5691243048
2015_1308	5545016.9819	7421918.7765	186.91655260960002
2015_1309	5545015.7833	7421918.5605	186.9566206096
2015_1310	5545014.6282	7421918.3957	186.76738830480002
2015_1311	5545013.4528	7421918.0589	186.6827436952
2015_1312	5545012.3647	7421917.796	186.565932
2015_1313	5545011.2848	7421917.3521	186.3932436952
2015_1314	5545010.1793	7421916.9889	184.7258923048
2015_1315	5545009.0544	7421916.5422	182.318668
2015_1316	5545007.9541	7421916.1263	181.1935603048
2015_1317	5545006.8347	7421915.655	180.873068
2015_1318	5545005.6932	7421915.2541	180.63098830479998
2015_1319	5545004.5104	7421914.8558	179.62078739039998
2015_1320	5545003.3239	7421914.5327	179.2707667808
2015_1321	5545002.0787	7421914.2831	179.1224563048
2015_1322	5545000.8494	7421914.0216	179.5295409144
2015_1323	5544999.5811	7421913.9267	180.03751260960001
2015_1324	5544998.362	7421913.7858	179.94760769520002
2015_1325	5544997.0074	7421913.8217	180.1473756952
2015_1326	5544995.733	7421913.7602	180.28590769520002
2015_1327	5544994.4525	7421913.7158	180.340732
2015_1328	5544993.128	7421913.7296	180.40109999999999
2015_1329	5544991.7896	7421913.6412	180.1730206096
2015_1330	5544990.4672	7421913.5354	180.1576793904
2015_1331	5544989.154	7421913.3463	179.9599126096
2015_1332	5544987.897	7421913.1106	179.4526307808
2015_1333	5544986.6552	7421912.7695	179.1290950856
2015_1334	5544985.4634	7421912.4123	178.3495486096
2015_1335	5544984.3061	7421911.9655	178.1353206096
2015_1336	5544983.1841	7421911.4971	177.3232563048
2015_1337	5544982.0348	7421911.0161	175.590392724
2015_1338	5544980.9022	7421910.5252	173.49447211440003
2015_1339	5544979.7321	7421910.0486	172.517553524
2015_1340	5544978.5847	7421909.5424	172.13431013359997
2015_1341	5544977.4133	7421909.0282	172.0145846096
2015_1342	5544976.2553	7421908.5746	170.64387691439998
2015_1343	5544975.0919	7421908.056	169.790989524
2015_1344	5544973.9447	7421907.6464	169.61739999999998
2015_1345	5544972.7769	7421907.0912	169.4341178288
2015_1346	5544971.5995	7421906.7447	169.4165818288
2015_1347	5544970.3912	7421906.2597	169.41773321920002
2015_1348	5544969.1755	7421905.9349	169.377761524
2015_1349	5544967.9697	7421905.5673	169.40573813359998
2015_1350	5544966.7339	7421905.3719	169.4106332192
2015_1351	5544965.5025	7421905.1323	169.3753923048
2015_1352	5544964.2309	7421905.1368	169.3893846096
2015_1353	5544962.995	7421905.1369	169.4278692192
2015_1354	5544961.7431	7421905.2184	169.46095352400002
2015_1355	5544960.5394	7421905.4429	169.4053332192
2015_1356	5544959.3591	7421905.6237	169.349925524
2015_1357	5544958.1497	7421905.9951	169.2902101336
2015_1358	5544956.9979	7421906.3513	169.2662769144
