X	Y	H
5545181.0291	7421895.7078	169.372289524
5545181.9852	7421895.559	169.8666206096
5545182.9687	7421895.2282	170.3848332192
5545183.9061	7421894.9201	170.6430178288
5545184.7501	7421894.3748	170.79828502880002
5545185.5617	7421893.8752	171.17354659039998
5545186.3399	7421893.2137	171.7848798096
5545187.0953	7421892.5883	172.42081580960001
5545187.891	7421891.9395	172.85752350479999
5545188.6125	7421891.2342	173.2604158096
5545189.404	7421890.6033	173.43105950479998
5545190.1357	7421889.8922	174.25724860960003
5545190.9289	7421889.2438	174.98047691440001
5545191.7035	7421888.5596	174.9345563048
5545192.4883	7421887.867	175.9651230856
5545193.2551	7421887.145	177.36450769520002
5545194.054	7421886.3799	177.806864
5545194.8746	7421885.5708	178.21020769519998
5545195.7408	7421884.8979	178.3334756952
5545196.6523	7421884.3633	178.44870769519997
5545197.5068	7421883.9915	178.538496
5545198.3466	7421883.77	178.7742436952
5545199.169	7421883.6418	178.8719206096
5545199.9007	7421883.5953	178.8339563048
5545200.6534	7421883.6049	178.9549436952
5545201.332	7421883.6662	178.97487939040002
5545201.9845	7421883.8247	179.1221923048
5545202.6516	7421884.0683	179.1531352
5545203.3794	7421884.2292	179.083368
5545204.1454	7421884.2964	179.14087939040002
5545204.9617	7421884.4625	179.2225206096
5545205.8029	7421884.4357	179.3092116952
5545206.7617	7421884.4267	179.3930603048
5545207.7136	7421884.3499	179.4949396952
5545208.7102	7421884.1254	179.5720436952
5545209.6793	7421883.9149	179.654632
5545210.6058	7421883.5088	179.727536
5545211.5185	7421883.1506	179.8073793904
5545212.4089	7421882.6599	179.8774846096
5545213.2603	7421882.2142	179.9626486096
5545214.2045	7421881.7351	179.980568
5545215.0676	7421881.2057	180.034536
5545216.0073	7421880.72	180.0704076952
5545216.8657	7421880.1315	180.1156806096
5545217.7549	7421879.6025	180.162496
5545218.5923	7421879.0008	180.20506799999998
5545219.4824	7421878.4321	180.275632
5545220.3352	7421877.8812	180.3221603048
5545221.2267	7421877.3305	180.3650846096
5545222.0753	7421876.7943	180.398764
5545222.9773	7421876.2738	180.43939600000002
5545223.8396	7421875.6977	180.47553599999998
5545224.7546	7421875.2002	180.47973199999998
5545225.6443	7421874.641	180.4077603048
5545226.5414	7421874.0417	180.3178563048
5545227.448	7421873.5443	179.8760126096
5545228.2941	7421872.8702	179.44123199999999
5545229.1928	7421872.2761	179.404164
5545230.0261	7421871.6214	179.401564
5545230.8557	7421870.9102	178.9730846096
5545231.611	7421870.1971	170.5934458288
5545232.3894	7421869.4512	169.9634972192
5545233.1098	7421868.6725	169.198753524
5545233.8519	7421867.9152	169.0706846096
5545234.5623	7421867.1565	169.2080563048
5545235.277	7421866.3362	169.27701013360002
5545235.964	7421865.5071	169.2909923048
5545236.689	7421864.7158	169.3025381336
5545237.3713	7421863.9501	169.259264
5545238.0388	7421863.2331	169.169525524
5545238.6576	7421862.3838	169.04954582879998
5545239.2797	7421861.545	168.922589524
5545239.9259	7421860.5886	168.76238952399999
5545240.6888	7421859.6462	168.71576152400002
5545241.5665	7421858.7389	168.8409846096
5545242.5582	7421858.0451	168.99682830479998
5545243.6338	7421857.546	169.1763126096
5545244.6146	7421857.2871	169.4865178288
5545245.3932	7421857.2833	169.5461769144
5545246.1375	7421857.3192	169.5302409144
5545246.9174	7421857.5496	169.5949458288
5545247.6262	7421857.8093	169.4892101336
5545248.114	7421858.1579	169.4566381336
5545248.6762	7421858.5762	169.3896846096
5545248.9278	7421858.9934	169.267064
5545249.1401	7421859.3918	169.2115
5545249.1233	7421859.7974	169.23144582880002
5545249.0651	7421860.1956	169.19661013360002
5545248.9227	7421860.6529	169.1293
5545248.9388	7421861.22	169.0990692192
5545248.8992	7421861.7933	169.0134206096
5545248.9246	7421862.3779	168.950753524
5545248.9376	7421863.0295	169.004625524
5545248.9909	7421863.6768	169.1316409144
5545248.9542	7421864.3709	169.2779409144
5545248.995	7421865.108	169.373389524
5545248.8273	7421865.8261	169.4371409144
5545248.6638	7421866.5388	169.516589524
5545248.3674	7421867.274	169.56501013359997
5545248.0534	7421867.9945	169.606589524
5545247.7981	7421868.7897	169.604025524
5545247.597	7421869.57	169.579353524
5545247.5188	7421870.4227	169.4885458288
5545247.4501	7421871.2749	169.238864
5545247.3659	7421872.1333	168.7810049144
5545247.4258	7421873.048	168.663653524
5545247.3642	7421873.92	168.4251
5545247.38	7421874.8035	168.5217381336
5545247.3359	7421875.6634	168.63562552399998
5545247.3544	7421876.5073	168.90179230479998
5545247.3819	7421877.3097	168.9177769144
5545247.4492	7421878.0927	169.0077692192
5545247.512	7421878.8751	169.647564
5545247.5576	7421879.6203	170.0538818288
5545247.6276	7421880.4282	170.562161524
5545247.6384	7421881.1934	170.8411875048
5545247.6542	7421882.0049	171.1513875048
5545247.6838	7421882.7781	171.37044411440002
5545247.6992	7421883.5804	171.8161518096
5545247.7113	7421884.3393	171.7489388952
5545247.7469	7421885.0738	171.8042032
5545247.8364	7421885.794	172.2146388952
5545247.9671	7421886.492	172.4378850288
5545248.1602	7421887.2067	172.57610811439997
5545248.3157	7421887.9032	172.6493158096
5545248.6015	7421888.6522	172.8215955048
5545248.901	7421889.4213	172.6942312
5545249.3238	7421890.4056	172.4586748952
5545249.6321	7421891.4016	172.27395950480002
5545249.8044	7421892.6548	172.037356724
5545249.7534	7421893.7456	172.0630364192
5545249.4519	7421894.6835	172.3179748952
5545249.0613	7421895.4313	172.7405955048
5545248.5886	7421895.9085	173.3101235048
5545248.0869	7421896.2426	173.63715672400002
5545247.5537	7421896.4228	173.8796307808
5545246.9525	7421896.4533	173.930336
5545246.3226	7421896.4237	173.6256081144
5545245.6238	7421896.3716	173.5409721144
5545244.8865	7421896.6142	182.3981833904
5545244.0835	7421896.7736	182.520804
5545243.2675	7421897.2257	182.5984
5545242.4168	7421897.566	182.65846800000003
5545241.5071	7421898.0686	182.69440769519997
5545240.5889	7421898.411	182.651432
5545239.5705	7421898.8435	182.569236
5545238.5634	7421899.1089	182.50343969520003
5545237.4539	7421899.3262	182.3712126096
5545236.3878	7421899.4715	182.30141660959998
5545235.2459	7421899.5231	182.21331660959999
5545234.1435	7421899.5707	182.1542076952
5545233.0025	7421899.5094	182.061464
5545231.8429	7421899.4946	181.9896206096
5545230.7013	7421899.3434	181.93130769520002
5545229.5302	7421899.2351	181.848064
5545228.401	7421899.0185	181.76477169519998
5545227.235	7421898.8284	181.6198603048
5545226.0921	7421898.6722	181.51203600000002
5545224.9308	7421898.5062	181.3308486096
5545223.8156	7421898.3582	181.17919999999998
5545222.6925	7421898.2549	181.011868
5545221.5241	7421898.1212	180.8600076952
5545220.401	7421898.0213	180.6910756952
5545219.28	7421898.0899	180.4712126096
5545218.2439	7421898.2706	180.3054206096
5545217.2291	7421898.5749	180.0762206096
5545216.4177	7421899.0384	179.9427126096
5545215.5472	7421899.5578	179.475264
5545214.8713	7421900.1838	178.8477756952
5545214.122	7421900.838	178.1422473904
5545213.4715	7421901.5438	177.6611153904
5545212.9247	7421902.3787	177.1402563048
5545212.3457	7421903.1811	176.74990769520002
5545211.8591	7421904.0955	176.29865139039998
5545211.3606	7421904.9689	175.9871
5545210.9606	7421905.9227	175.7634486096
5545210.5503	7421906.8649	175.3961486096
5545210.1855	7421907.8602	175.1730923048
5545209.8862	7421908.8708	174.70764860960003
5545209.5939	7421909.9047	174.413436
5545209.2986	7421910.9651	174.220864
5545209.0097	7421912.0065	174.0338873904
5545208.7256	7421913.1104	173.8429153904
5545208.431	7421914.1715	173.63312350479998
5545208.1428	7421915.264	173.36080811440002
5545207.8247	7421916.2905	173.1948644192
5545207.4926	7421917.3473	173.05120811440003
5545207.2248	7421918.4116	172.81910811440002
5545206.9206	7421919.449	172.6780955048
5545206.6277	7421920.4912	172.5122518096
5545206.351	7421921.5214	172.38324411440001
5545206.0388	7421922.568	172.1922595048
5545205.799	7421923.6402	172.0749955048
5545205.4749	7421924.6892	171.8817108952
5545205.2507	7421925.7762	171.75395180959998
5545204.931	7421926.8688	171.5735158096
5545204.6668	7421927.9938	171.3630158096
5545204.2551	7421929.0251	171.1266595048
5545203.851	7421930.1178	170.89262072399998
5545203.2684	7421931.0211	170.7411672
5545202.6766	7421931.8399	170.5925486096
5545201.9908	7421932.5524	170.5292923048
5545201.2526	7421933.1471	170.4037206096
5545200.4704	7421933.65	170.2723563048
5545199.6053	7421934.0731	170.0910049144
5545198.7471	7421934.5562	169.965489524
5545197.8746	7421935.0698	169.8734
5545197.0645	7421935.7346	169.859361524
5545196.3145	7421936.431	169.8490206096
5545195.6152	7421937.24	169.7989049144
5545194.9323	7421938.0299	169.7613332192
5545194.3147	7421938.8947	169.6691972192
5545193.6513	7421939.7069	169.48587413360002
5545193.0679	7421940.6113	169.4254101336
5545192.4319	7421941.4563	169.3672101336
5545191.8962	7421942.3893	169.4219178288
5545191.28	7421943.2592	169.631689524
5545190.7799	7421944.2067	169.87302830480002
5545190.2048	7421945.0822	170.0914283048
5545189.7514	7421946.0799	170.2815563048
5545189.2154	7421946.9826	170.405725524
5545188.7651	7421947.9993	170.4775741336
5545188.2209	7421948.9138	170.5552769144
5545187.7599	7421949.9229	170.5669178288
5545187.1925	7421950.8235	170.573464
5545186.7028	7421951.8285	170.607089524
5545186.1197	7421952.7115	170.8295672
5545185.5699	7421953.6926	171.161292724
5545184.941	7421954.5591	171.6984388952
5545184.2258	7421955.3696	172.1971081144
5545183.4877	7421956.0999	172.573120724
5545182.7458	7421956.8822	172.8419388952
5545182.0184	7421957.6735	173.05974659039998
5545181.285	7421958.4848	173.4916644192
5545180.4974	7421959.3062	173.9154076952
5545179.7587	7421960.1377	174.49178460960002
5545179.0483	7421961.0235	174.9201513904
5545178.5754	7421961.9905	175.0382206096
5545178.1073	7421962.9419	175.6276923048
5545177.8517	7421963.987	176.6010436952
5545177.5796	7421964.9521	176.9773076952
5545177.4425	7421966.0013	176.9577590856
5545177.1883	7421967.0255	176.5201049144
5545177.0026	7421968.1005	176.8572769144
5545176.7294	7421969.1335	178.143936
5545176.5185	7421970.2453	178.109204
5545176.2489	7421971.2866	178.0017793904
5545176.0142	7421972.4006	187.04094800000001
5545175.7479	7421973.4485	187.3675403048
5545175.5177	7421974.5789	186.4923526096
5545175.2751	7421975.6408	186.2432716952
5545175.0792	7421976.7796	186.71885260960002
5545174.8216	7421977.852	187.1008083048
5545174.6603	7421978.9618	186.332604
5545174.4539	7421980.0045	186.03625630480002
5545174.318	7421981.065	185.78411260960002
5545174.2232	7421982.1349	185.7661806096
5545174.1259	7421983.1949	185.9255243048
5545174.0986	7421984.2824	186.03240399999999
5545174.0592	7421985.3944	186.0260076952
5545173.9668	7421986.4925	186.3854756952
5545173.8419	7421987.6277	187.17625199999998
5545173.5696	7421988.7	187.7548283048
5545173.2202	7421989.6978	188.3135043048
5545172.8295	7421990.6387	188.9918603048
5545172.3385	7421991.5417	189.2989556952
5545171.8505	7421992.4013	189.7760083048
5545171.2617	7421993.2689	190.36380830480002
5545170.7445	7421994.1627	190.909064
5545170.0886	7421994.9736	191.43080400000002
5545169.4182	7421995.7257	191.631768
5545168.7194	7421996.4351	191.936184
5545167.765	7421997.1041	192.1749636952
5545166.8132	7421997.8322	192.2784
5545165.9276	7421998.6147	192.1972636952
5545165.2098	7421999.4979	192.337312
5545164.5727	7422000.441	192.6320236952
5545164.3885	7422001.2124	192.5972396952
5545164.246	7422001.9811	192.432992
5545164.4339	7422002.634	192.4590316952
5545164.6368	7422003.2039	192.51385199999999
5545165.0733	7422003.7265	192.5679636952
5545165.4743	7422004.197	193.088276
5545166.0226	7422004.7094	192.748244
5545166.5333	7422005.2186	192.642812
5545167.137	7422005.8353	192.7041716952
5545167.4908	7422006.5612	192.7571796952
5545167.9129	7422007.4433	192.901296
5545168.0641	7422008.3806	192.903392
5545168.3562	7422009.417	192.9873396952
5545168.5222	7422010.4332	193.077384
5545168.8254	7422011.5535	193.1671316952
5545168.9626	7422012.6962	193.226176
5545169.0872	7422013.8479	193.3652396952
5545168.9662	7422014.9519	193.46462000000002
5545168.6325	7422015.8579	193.557952
5545168.1842	7422016.7571	193.702368
5545167.5218	7422017.5233	193.78941200000003
5545166.9154	7422018.4563	193.918376
5545166.2299	7422019.2917	194.066684
5545165.4199	7422020.1727	194.0791636952
5545164.5822	7422020.9598	194.237728
5545163.5618	7422021.7258	194.27938799999998
5545162.5363	7422022.5151	194.369132
5545161.4568	7422023.2934	194.477764
5545160.4369	7422024.1515	194.58034800000001
5545159.5556	7422025.1221	194.633304
5545158.7256	7422026.0443	194.77257200000003
5545157.9622	7422027.0934	194.82817200000002
5545157.2311	7422028.1227	194.922424
5545156.5349	7422029.2181	195.028704
5545155.9409	7422030.3267	195.084908
5545155.3881	7422031.4365	195.16011200000003
5545154.9918	7422032.6008	195.151868
5545154.6192	7422033.7644	195.201236
5545154.3576	7422034.8896	195.211732
5545154.0878	7422035.9695	195.222576
5545153.8353	7422037.0217	195.19914
5545153.6401	7422038.048	195.106744
5545153.4975	7422039.0667	194.930112
5545153.4423	7422040.0779	194.724848
5545153.372	7422041.0701	194.1661636952
5545153.4262	7422042.0724	193.622568
5545153.4665	7422043.0976	193.624368
5545153.5461	7422044.0925	193.62507969520001
5545153.7087	7422045.1277	192.978892
5545153.7773	7422046.1366	191.349016
5545153.9458	7422047.2701	190.7181763048
5545153.9504	7422048.377	181.7825032
5545153.8635	7422049.5523	181.54245630480003
5545153.5963	7422050.6411	181.034336
5545153.1942	7422051.5901	180.6452563048
5545152.7062	7422052.3537	180.5614563048
5545152.108	7422052.9181	180.1539716952
5545151.4937	7422053.3466	179.64915630480002
5545150.7686	7422053.7135	181.69960400000002
5545149.9993	7422053.9633	181.843396
5545149.1739	7422054.1499	182.162436
5545148.3368	7422054.1759	182.3383283048
5545147.4515	7422054.2482	182.62716799999998
5545146.5575	7422054.2479	183.1111126096
5545145.6529	7422054.1842	183.5491283048
5545144.7657	7422054.0234	183.90853969519998
5545143.8292	7422053.8704	184.5420283048
5545142.9212	7422053.6106	185.136632
5545141.9433	7422053.3816	185.8594076952
5545140.9411	7422053.1403	186.49643969520002
5545139.9565	7422052.9351	187.099396
5545138.9716	7422052.5969	187.63215200000002
5545137.9863	7422052.3286	188.2570883048
5545137.0056	7422052.0174	188.6834083048
5545136.046	7422051.718	189.322132
5545135.078	7422051.4503	189.845996
5545134.13	7422051.1068	190.3066396952
5545133.227	7422050.9369	190.64551999999998
5545132.3477	7422050.8523	191.0596923048
5545131.4461	7422050.851	191.504764
5545130.4461	7422051.0208	192.031316
5545129.4137	7422051.2608	192.37245199999998
5545128.6958	7422051.5647	192.422168
5545128.1132	7422051.9345	192.03992
5545127.4596	7422052.1795	192.00624000000002
5545127.0351	7422052.136	191.99013200000002
5545126.7074	7422051.9511	192.057296
5545126.3804	7422051.6972	192.09892000000002
5545126.0747	7422051.2617	194.693624
5545125.9431	7422051.0088	194.53386799999998
5545126.1151	7422050.9736	194.466416
5545126.3297	7422050.8993	194.61592000000002
5545126.5406	7422050.6889	194.445044
5545126.8748	7422050.5578	194.547912
5545127.1532	7422050.2437	194.891152
5545127.2187	7422049.9034	195.06179600000002
5545127.135	7422049.7634	195.350456
5545126.8517	7422049.7177	195.592492
5545126.8154	7422049.696	195.385136
5545126.8237	7422049.706	195.47871200000003
5545126.8494	7422049.7114	195.469908
5545126.8556	7422049.7044	195.55416
5545126.8453	7422049.7014	195.62296400000002
5545126.8356	7422049.7085	195.651296
5545126.8469	7422049.7024	195.643152
5545126.8426	7422049.7039	195.642196
5545126.8418	7422049.7032	195.645492
5545126.8397	7422049.6971	195.64204800000002
5545126.8457	7422049.6976	195.656236
5545126.8496	7422049.7017	195.66518000000002
5545126.8478	7422049.6983	195.67298
5545126.8465	7422049.7067	195.664628
5545126.8747	7422049.7096	195.660224
5545126.8549	7422049.6958	195.67291600000001
5545126.8395	7422049.6944	195.69016
5545126.8405	7422049.6913	195.65356400000002
5545126.8382	7422049.7068	195.621084
5545126.8519	7422049.7128	195.541792
5545126.8945	7422049.7528	195.567656
5545126.8916	7422049.7152	195.62874399999998
5545126.8905	7422049.726	195.602944
5545126.8682	7422049.7172	195.654312
5545126.8833	7422049.7146	195.63747999999998
5545126.8881	7422049.7022	195.622044
5545126.8735	7422049.7048	195.649316
5545126.8737	7422049.7033	195.610188
5545126.8696	7422049.7007	195.632668
5545126.8699	7422049.7017	195.60389600000002
5545126.8701	7422049.7059	195.63897599999999
5545126.8669	7422049.7058	195.622132
5545126.8715	7422049.7052	195.63746799999998
5545126.8701	7422049.7033	195.617932
5545126.8676	7422049.7058	195.636216
5545126.8707	7422049.705	195.64272
5545126.8728	7422049.7034	195.632576
5545126.8681	7422049.7015	195.64176400000002
5545126.8692	7422049.7029	195.635816
5545126.8649	7422049.7041	195.643068
5545126.8644	7422049.7027	195.65276
5545126.8666	7422049.706	195.654968
5545126.8635	7422049.7072	195.656768
5545126.8653	7422049.7055	195.67435600000002
5545126.8649	7422049.7092	195.684852
5545126.867	7422049.7088	195.64882
5545126.8612	7422049.7084	195.70093599999998
5545126.8614	7422049.7068	195.698896
5545126.8605	7422049.7109	195.677208
5545126.861	7422049.7086	195.67576
5545126.8603	7422049.7083	195.673764
5545126.8641	7422049.7105	195.715136
5545126.8651	7422049.7114	195.66312
5545126.8658	7422049.7143	195.6898
5545126.8704	7422049.7146	195.66762
5545126.8706	7422049.7127	195.650476
5545126.8662	7422049.7124	195.660968
5545126.8681	7422049.7125	195.650724
5545126.8694	7422049.708	195.687504
5545126.8652	7422049.7083	195.686408
5545126.8706	7422049.6995	195.661024
5545126.8746	7422049.6904	195.623696
5545126.8679	7422049.6814	195.639996
5545126.8672	7422049.6783	195.65154
5545126.877	7422049.6821	195.646544
5545126.8738	7422049.6824	195.643444
5545126.8807	7422049.6842	195.65334000000001
5545126.8763	7422049.6812	195.670584
5545126.8762	7422049.6772	195.66934
5545126.8737	7422049.6759	195.673636
5545126.8807	7422049.6801	195.658444
5545126.8688	7422049.6775	195.656948
5545126.8791	7422049.6796	195.650596
5545126.8796	7422049.6797	195.665244
5545126.8712	7422049.6779	195.673984
5545126.8742	7422049.6758	195.648796
5545126.8746	7422049.6817	195.65668799999997
5545126.876	7422049.6774	195.65524000000002
5545126.8753	7422049.6777	195.647444
5545126.8801	7422049.6816	195.656996
5545126.882	7422049.6785	195.74728800000003
5545126.8909	7422049.6986	195.64772
5545126.8594	7422049.6831	195.65882
5545126.8614	7422049.6712	195.66571199999998
5545126.8681	7422049.6697	195.656472
5545126.873	7422049.6769	195.653176
5545126.8738	7422049.6736	195.648676
5545126.8806	7422049.6775	195.645328
5545126.88	7422049.6745	195.651124
5545126.8852	7422049.6792	195.643128
5545126.8809	7422049.6765	195.667712
5545126.8783	7422049.6765	195.58132
5545126.9175	7422049.7002	195.491824
5545127.0272	7422049.7819	194.96193599999998
5545127.1426	7422049.9121	194.782048
5545127.2599	7422050.0235	193.05773200000002
5545127.3905	7422050.1919	193.03034399999999
5545127.5777	7422050.3708	192.8981876952
5545127.7702	7422050.5581	192.73450400000002
5545127.9576	7422050.741	192.6017396952
5545128.1385	7422050.8607	192.5160876952
5545128.3473	7422050.7881	192.341552
5545128.612	7422050.6717	192.182808
5545128.9632	7422050.4289	192.0344123048
5545129.4328	7422050.2302	191.822048
5545129.9171	7422050.1287	191.46751999999998
5545130.4318	7422050.1764	191.1642443048
5545130.9268	7422050.2844	190.69899230480002
5545131.3961	7422050.5496	190.3355396952
5545131.947	7422050.7868	189.9329083048
5545132.4401	7422051.1236	189.436832
5545132.9131	7422051.4653	189.08382
5545133.3599	7422051.9214	188.7122603048
5545133.7889	7422052.3786	188.249716
5545134.2326	7422052.8924	187.627268
5545134.7076	7422053.3752	187.0053206096
5545135.2085	7422053.8486	186.5250396952
